country_name,year,country_code,literacy_rate_adult_female_of_females_ages_15_and_above,literacy_rate_adult_male_of_males_ages_15_and_above,literacy_rate_adult_total_of_people_ages_15_and_above,literacy_rate_youth_male_of_males_ages_1524,literacy_rate_youth_total_of_people_ages_1524,number_of_deaths_ages_1014_years,number_of_deaths_ages_1519_years,number_of_deaths_ages_2024_years,number_of_deaths_ages_59_years,number_of_infant_deaths,number_of_infant_deaths_female,number_of_infant_deaths_male,number_of_maternal_deaths,number_of_neonatal_deaths,number_of_stillbirths,total_alcohol_consumption_per_capita_female_liters_of_pure_alco,total_alcohol_consumption_per_capita_male_liters_of_pure_alcoho,tuberculosis_death_rate_per_100000_people,unemployment_female_of_female_labor_force,unemployment_male_of_male_labor_force,unemployment_total_of_total_labor_force,capital_health_expenditure_of_gdp,cause_of_death_by_communicable_diseases_and_maternal_prenatal_a,cause_of_death_by_injury_of_total,cause_of_death_by_noncommunicable_diseases_of_total,children_014_living_with_hiv,children_ages_014_newly_infected_with_hiv,condom_use_population_ages_1524_female_of_females_ages_1524,condom_use_population_ages_1524_male_of_males_ages_1524,consumption_of_iodized_salt_of_households,contraceptive_prevalence_any_methods_of_women_ages_1549,contraceptive_prevalence_modern_methods_of_women_ages_1549,current_health_expenditure_of_gdp,demand_for_family_planning_satisfied_by_any_methods_of_married_,demand_for_family_planning_satisfied_by_modern_methods_of_marri,diabetes_prevalence_of_population_ages_20_to_79,exclusive_breastfeeding_of_children_under_6_months,external_health_expenditure_of_current_health_expenditure,external_health_expenditure_channeled_through_government_of_ext,external_health_expenditure_per_capita_ppp_current_internationa
Mauritius,2010,MUS,0,0,0,0,0,23,58,81,19,190,83,107,10,140,136,1.58,6.11,0.99,12.93900013,4.484000206,7.653999805,0.54954368,7.9,6.2,85.9,200,100,0,0,0,0,0,4.57982111,0,0,16.2,0,1.88306737,89.99907008,13.49059677
Mongolia,2015,MNG,0,0,0,0,0,114,207,353,141,1327,562,765,36,743,445,5.05,17.11,11,4.245999813,5.374000072,4.861000061,0.26647604,10.2,10.7,79,0,0,0,0,0,0,0,4.23834133,0,0,0,0,4.39653158,85.58582808,22.54737854
Mongolia,2016,MNG,0,0,0,0,0,109,196,324,135,1243,528,715,35,722,437,0,0,11,5.873000145,8.369000435,7.235000134,0.4814527,9.7,10.6,79.7,0,0,0,0,79.9,0,0,4.42355728,0,0,0,59.2,5.6657548,88.9491743,30.42830086
Montenegro,2010,MNE,0,0,0,0,0,5,15,23,6,45,20,25,1,34,35,6.69,23.92,0.2,20.73900032,18.79500008,19.64900017,0,1.7,4.2,94,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0
Morocco,2010,MAR,0,0,0,0,0,790,2647,2899,1378,18554,8067,10487,630,13741,11743,0.24,1.59,8.1,9.487999916,8.94699955,9.090000153,0.22533086,17.3,7.6,75.2,500,100,0,0,0,0,0,5.86408854,0,0,8.3,0,0.44110709,71.76016713,1.66015434
Morocco,2015,MAR,0,0,0,0,0,662,2248,2733,1170,15230,6603,8627,520,11338,10999,0.19,1.24,8.2,10.42399979,9.138999939,9.460000038,0.15942103,14.6,6.6,78.8,1000,100,0,0,0,0,0,5.07174492,0,0,0,0,0.20777096,85.20806107,0.83686835
Mozambique,2011,MOZ,0,0,0,0,0,5577,6397,10032,8425,65863,30514,35349,3800,32302,25472,0,0,31,3.128000021,3.506999969,3.305000067,0,0,0,0,160000,25000,15.6,33.3,42.5,11.6,11.3,5.40332603,32.7,31.9,0,40,65.66673279,64.85827145,34.93070221
Myanmar,2005,MMR,0,0,0,0,0,4992,8741,10385,10774,63334,28016,35318,3300,35946,19934,0.67,2.71,130,0.870999992,0.700999975,0.773999989,0.06005313,0,0,0,7600,2000,0,0,0,0,0,2.14332175,0,0,0,0,10.20618629,9.143905638,4.75407076
Myanmar,2015,MMR,0,0,0,0,0,2776,3915,5930,3242,38475,16931,21544,2300,23502,14461,1.74,7.26,57,0.902999997,0.667999983,0.765999973,0.50130683,24.7,8.7,66.6,11000,1200,0,0,0,0,0,5.4778142,0,0,0,0,7.55755901,6.912713048,21.10082054
Myanmar,2007,MMR,0,0,0,0,0,4562,7337,9213,9090,57550,25441,32109,3100,32736,18472,0,0,112,0.792999983,0.628000021,0.698000014,0.04579344,0,0,0,8900,1900,0,0,0,41,38.4,2.04593039,0,0,0,0,7.79324102,18.52833166,4.12590885
